location,gdp_per_capita,reproduction_rate,new_cases,population
Spain,34272.36,1.1482722007722006,11837.170962199312,47558632.0
Sweden,46949.283,1.143827519379845,2321.013757523646,10549349.0
Belgium,42658.576,1.1231395348837208,4057.6755136986303,11655923.0
Switzerland,57410.166,1.1095353339787029,3768.6929674099483,8740471.0
Germany,45229.245,1.0975409836065575,32770.71061643836,83369840.0
Australia,44648.71,1.0954961089494164,9743.75,26177410.0
Brazil,14103.452,1.0905560975609756,31888.300085984523,215313504.0
France,38605.671,1.0890173410404624,33495.62671232877,67813000.0
Peru,12236.706,1.0810088148873653,3842.6875,34049588.0
United States,54225.446,1.0809381044487427,87987.95962199313,338289856.0
Bolivia,6885.829,1.0801588877855015,1022.8484589041096,12224114.0
Hungary,26777.561,1.0798131760078664,1880.7996575342465,9967304.0
Luxembourg,94277.965,1.077737512242899,272.55479452054794,647601.0
Japan,39002.223,1.077189292543021,28541.932363013697,123951696.0
South Korea,35938.374,1.0726456542502387,26251.908390410958,51815808.0
World,15469.207,1.0701579925650557,651473.8827054794,7975105024.0
Netherlands,48472.545,1.0697192642787996,7367.065924657534,17564020.0
Italy,35220.084,1.0682854406130269,22035.660361134996,59037472.0
Austria,45436.686,1.063920233463035,5120.791095890411,8939617.0
Guatemala,7423.808000000001,1.0629689067201604,1061.6906598114824,17843914.0
Estonia,29481.252000000004,1.0594921875,527.1635273972603,1326064.0
Israel,33132.32,1.0573268292682927,4115.304794520548,9449000.0
Bosnia and Herzegovina,11713.895,1.0568307086614173,344.10445205479454,3233530.0
United Kingdom,39753.244,1.0565444015444014,21000.340498710233,67508936.0
Slovenia,31400.839999999997,1.0561463414634147,1142.19948630137,2119843.0
El Salvador,7292.4580000000005,0.62374749498998,172.7611301369863,6336393.0
Burkina Faso,1703.102,0.6016370808678502,18.883561643835616,22673764.0
Palau,13240.405,0.5984857142857143,5.131849315068493,18084.0
Samoa,6021.557,0.5865277777777778,14.064212328767123,222390.0
Guinea-Bissau,1548.675,0.5777505112474437,7.671232876712328,2105580.0
Lesotho,2851.153,0.5626571113561191,29.529109589041095,2305826.0
Sao Tome and Principe,3052.714,0.5605246913580247,5.377568493150685,227393.0
Grenada,13593.877,0.55721399730821,16.84931506849315,125459.0
Gambia,1561.767,0.5553683035714286,10.78595890410959,2705995.0
Mauritius,20292.745,0.5482755203171458,253.46061643835617,1299478.0
Liberia,752.788,0.5358680203045686,6.933161953727506,5302690.0
Tonga,5425.621,0.5078947368421053,14.393835616438356,106867.0
Cameroon,3364.926,0.4876709613478692,106.68236301369863,27914542.0
Benin,2064.236,0.4830721649484536,23.971746575342465,13352864.0
Micronesia (country),3299.464,0.46189024390243905,20.714897260273972,114178.0
Congo,4881.406,0.4533568548387097,21.498287671232877,5970430.0
Dominica,9673.367,0.4243801652892562,13.493150684931507,72758.0
Tajikistan,2896.913,0.38247687564234323,15.227739726027398,9952789.0
Marshall Islands,3819.2020000000007,0.37773972602739725,13.398116438356164,41593.0
Central African Republic,661.24,0.37067079463364294,13.156678082191782,5579148.0
Solomon Islands,2205.923,0.3260579710144928,21.040239726027398,724272.0
Tuvalu,3575.104,0.28706896551724137,2.379280821917808,11335.0
Kiribati,1981.132,0.25252199413489734,4.292808219178082,131237.0
Tanzania,2683.304,0.16175757575757574,36.75256849315068,65497752.0
Nauru,12895.635,0.12112244897959183,4.523972602739726,12691.0
